stock_id,QLIKE,RMSPE%,MAPE%,RMSE,MSE_rv,MAE_log,MSE_log_rv
stock_114,0.044313316705459176,40.62549112945047,26.344923255549617,0.0007708457279275138,5.942031362640985e-07,0.23178542604272143,0.09391441128748998
stock_8,0.04262715811580188,41.2503538039691,26.71903057939363,0.0006517870402362301,4.248263458199049e-07,0.23358770840495421,0.0934308335271348
stock_26,0.03452903291477118,41.98352288216158,23.69795853752489,0.0008155332570390566,6.65094493336732e-07,0.20189807327611206,0.07879093414006737
stock_86,0.04103534643870512,42.406717549868475,26.100755650922657,0.0004046291953002315,1.6372478568931288e-07,0.22443233330307702,0.09184657844538996
stock_48,0.04564751653215708,43.002881853611704,28.239370991640794,0.0006745137908150626,4.5496885399970606e-07,0.24223367976937013,0.10162030627126672
stock_47,0.05074504514958602,44.23622195479617,29.008093733443197,0.00035369378142070134,1.2509929101567485e-07,0.2501273165547841,0.11008213981317701
stock_42,0.044897340487834024,44.67516370935754,27.583555491285228,0.0010279634484261268,1.0567088513001343e-06,0.23965513024658747,0.09863339808455257
stock_115,0.05316454544248927,45.42500638960797,31.10348649149699,0.0007723449956977964,5.965167923794291e-07,0.26652009461655674,0.11669256694942605
stock_104,0.04917482528276992,45.4557438709682,29.21915553602136,0.0008297664983674212,6.885124418129317e-07,0.24788473647507123,0.10961287215079712
stock_107,0.049835380262221465,46.07930011161403,29.854033492171677,0.0007323904701337925,5.363958007427977e-07,0.25094335123136635,0.11255248482194839
stock_41,0.04910892889655939,46.68501573262724,27.998741455606872,0.00033299130086934244,1.1088320645465693e-07,0.23634610657729047,0.10848947994641472
stock_78,0.055517942817848435,47.4598228207674,31.25713744856846,0.0008319574810780125,6.921532503216715e-07,0.2668605488387262,0.12250650947115395
stock_108,0.04262655996566855,48.53591086971766,26.1246402836388,0.00041690881027657437,1.7381295608622866e-07,0.22014673386637665,0.09688463625775631
stock_82,0.057970866722755365,48.967175927457205,32.94136632765312,0.000789137506962083,6.227380048943315e-07,0.2772402584094138,0.12946692143507915
stock_6,0.04479818000405141,49.49603428312335,27.58308878459561,0.0012098895018326351,1.463832606644822e-06,0.23143736234462725,0.10171451786488483
stock_100,0.04745557011106001,49.605789444861145,28.435938368610543,0.0026623068602472434,7.087877818119534e-06,0.2396109161370518,0.10652893534827564
stock_1,0.043068822647037694,50.03825224941318,27.873049063080813,0.0010151136813227252,1.0304557860085754e-06,0.23253044937084827,0.099193639429957
stock_62,0.045105884152840656,50.667676410566344,28.720266837712572,0.0009731994419109089,9.471171537357046e-07,0.23697093836429436,0.10520230342635509
stock_94,0.05538171944895593,52.45076914624226,31.858994848992083,0.001239746589734553,1.5369716067584542e-06,0.2666993506781855,0.12417425440085142
stock_97,0.06455318706769211,52.584138453678555,36.24906405988234,0.0012735062938591766,1.6218182804989356e-06,0.3013838523669256,0.1459727013629578
stock_105,0.052823632711243365,53.007150536092404,31.14834665814778,0.0004821311742973435,2.324504692293354e-07,0.2555291694899099,0.1217494831981645
stock_102,0.055914291201489746,53.31958599901026,31.38376440484511,0.0010838498443953481,1.1747304851958206e-06,0.26127049983891176,0.12580922162508917
stock_70,0.05391507607326951,55.21748728161601,31.198476647324984,0.0007077130849197724,5.008578105666609e-07,0.25797815673585356,0.12293731342723005
stock_11,0.060989951605065464,58.85406296818125,34.286429548737686,0.0017277768264839688,2.9852127621350142e-06,0.2792819170575276,0.1395383532550212
stock_3,0.051982270153864196,60.33022851580079,31.667051791985003,0.0016300499052269856,2.6570626935305044e-06,0.25319469999642025,0.12375064379836107
stock_72,0.06302234363108732,60.55569369012479,35.87952736821042,0.000950080571135521,9.026530916491978e-07,0.28631983326749477,0.14727959034396768
stock_126,0.06137863013175376,61.381721452855295,35.35679481661472,0.0013539399653227223,1.8331534296980943e-06,0.2832019551474795,0.1441178782527402
stock_19,0.07051431025407612,62.37800019078148,36.87918105031622,0.0007729091451912707,5.973885467203008e-07,0.2960783595908642,0.16065437694932824
stock_55,0.05867799753291695,62.932970498443375,33.669994751312885,0.0009801755303831775,9.607440703619433e-07,0.2734396522532345,0.13593655197138824
stock_4,0.07204395578188438,63.54662193585621,38.5123714863257,0.0014900313424937237,2.2201934016136483e-06,0.3083426629344513,0.16562446542415263
stock_122,0.04037197555978551,64.90817897362169,26.390221617981446,0.0010572244522797788,1.1177235424982783e-06,0.2171060711934326,0.0937839396151616
stock_74,0.06089952021253559,65.86635422666896,32.77884228171432,0.0008853258051770581,7.838017813124063e-07,0.2632916525186391,0.1395618134430669
stock_9,0.07860850709589785,66.08905572074303,40.97047554186244,0.001335850640331962,1.7844969332753126e-06,0.32423132123857246,0.18269449777528898
stock_89,0.08166529146202331,66.45277580881462,38.4690507090064,0.0008735324354534544,7.630589157892435e-07,0.30720929940684144,0.1793395549441245
stock_7,0.0702501103028819,67.14639573553902,40.04013192609233,0.0006539751045624689,4.2768343738749216e-07,0.30891766725978387,0.16957297664405124
stock_21,0.06607757889599372,68.10234485978548,34.37406228400521,0.0005953198108407059,3.544056771794138e-07,0.2795396597011533,0.14770882396044055
stock_103,0.07649144067844713,69.63935018228537,41.271718701461175,0.0014620964409390968,2.1377260026067737e-06,0.3218694831299978,0.17973091408900144
stock_66,0.06895430449343756,71.77330057240435,38.86242555087473,0.0010761597793731968,1.1581198707405677e-06,0.2999653572829846,0.1651473755554238
stock_83,0.07971719704018321,72.45087801905132,40.36009049864126,0.0016828310561999029,2.8319203637108807e-06,0.3142739183337079,0.18345425645249908
stock_81,0.06438304305708616,73.3886237133242,35.691341794685975,0.0011678987086379457,1.3639873936381814e-06,0.28010082796125474,0.15144463855589804
stock_90,0.08443301712824423,78.53564510653742,43.384146265070406,0.0017406650198322575,3.0299147112676333e-06,0.32923111038507985,0.19833064960434935
stock_30,0.08923796022770802,80.30052671200747,47.03721620348404,0.0017847458254972117,3.185317661629724e-06,0.3537777961412133,0.2161113130996838
stock_40,0.08084896372209455,80.4032676173162,42.85542176371537,0.0012729113843894706,1.6203033925083184e-06,0.32541359359823135,0.1936843206684302
stock_118,0.06172365573765717,80.82202243359318,36.16682628081017,0.002340109296312496,5.476111518688166e-06,0.2803648583965654,0.14803305961864294
stock_116,0.07430981616055396,81.23935745604449,40.81182950584129,0.0012296501358793712,1.5120394566681562e-06,0.30688926011756346,0.18116869693489154
stock_38,0.07066879775033388,82.17310470651597,40.167251919440226,0.0012521958699619805,1.5679944967498414e-06,0.30752941438413417,0.17100873816681994
stock_80,0.06685492607199475,83.18835737789276,35.49983863674878,0.002638454903506886,6.961444277839531e-06,0.27431362519224234,0.15410472025781086
stock_5,0.08520953270607444,84.21264177181635,44.16167975200437,0.0012295378635584482,1.5117633579238733e-06,0.33235372905096194,0.20417850180033958
stock_75,0.0923454207567331,89.79050967439046,46.44113052469873,0.0035772386191806724,1.2796636138557643e-05,0.3448150764168848,0.21991122390399961
stock_98,0.10622882596129805,96.79282823038224,52.10199610409659,0.002324678510896526,5.404130179024091e-06,0.3751120332630746,0.2576721762573467
